 ;Variável;Tipo Estatística;Tipo Computação;Descrição;Importância esperada;Observação;
0;mielo;Quantitativa Discreta;Inteiro;Número do paciente no livro de mielograma _ primeiro exame;no sense;;
1;mielo2;Quantitativa Discreta;Inteiro;Segundo mielogram;no sense;;
2;mielo3;Quantitativa Discreta;Inteiro;Terceirto mielograma;no sense;;
3;cepa;Qualitativa Nominal;String;Local da cepa no freezer;no sense;;
4;pront;Quantitativa Discreta;Inteiro;Número do prontuário do hospital (IDTNP);no sense;;
5;sangue;Qualitativa Nominal;String;Local de armazenamento de sangue;no sense;;
6;soro;Qualitativa Nominal;String;Local de armazenamento de soro;no sense;;
7;Nome;Qualitativa Nominal;String;Nome do participante;no sense;;
8;sexo;Qualitativa Nominal;String;Sexo biológico do participante;Pouco importante;;
9;UF;Qualitativa Nominal;String;Unidade Federativa de residência;no sense;;
10;porteurb;Quantitativa Discreta;Inteiro;Porte urbano do município de residência;no sense;;
11;habit;Qualitativa Ordinal;String;Número de habitantes no município de residência;no sense;;
12;cidade;Qualitativa Nominal;String;Município de residência;no sense;;
13;rural;Qualitativa Nominal;String;Local de residência (área urbana ou rural);no sense;;
14;proced;Qualitativa Nominal;String;Endereço de residência;no sense;;
15;admiss;Quantitativa Contínua;Data;Dta de admissão no hospital;no sense;;
16;alta;Quantitativa Contínua;Data;Dta da alta hospitalar;no sense;;
17;nasc;Quantitativa Contínua;Data;Data de nascimento;no sense;;
18;Idadedias;Quantitativa Contínua;Inteiro;Idade em dias à admissão;Importante;;
19;Idademeses;Quantitativa Contínua;Float;Idade em meses à admissão;Importante;;
20;idadeanos;Quantitativa Contínua;Float;Idade em anos à admissão;Importante;;
21;diashosp;Quantitativa Discreta;Inteiro;Dias de hospitalização;Importante;;
22;diagnóstico médico assistente;Qualitativa Nominal;String;Diagnóstico do médico assistente segundo anotações no prontuário;Importante;Passivo a muitos erros;
23;tempo;Quantitativa Discreta;Inteiro;Tempo decorrido desde os primeiros sintomas à internação;Importante;;
24;emagr;Qualitativa Nominal Binária;Inteiro;Relato de emagrecimento;Importante;;
25;pesoperdido;Quantitativa Contínua;Inteiro;Peso perdido em gramas;Importante;;
26;febre;Qualitativa Nominal Binária;Inteiro;Relato de febre;Pouco importante;Passivo a erros;
27;tempofebre;Quantitativa Discreta;Inteiro;Tempo de febre desde os primeiros sintomas à internação;Importante;;
28;tremor;Qualitativa Nominal Binária;Inteiro;Relato de tremores / calafrios;Pouco importante;;
29;palidez;Qualitativa Nominal Binária;Inteiro;Relato de palidez;Importante;;
30;apatia;Qualitativa Nominal Binária;Inteiro;Relato de apatia/ adinamia;Importante;;
31;irrit;Qualitativa Nominal Binária;Inteiro;Relato de irritabilidade;Importante;Em crianças;
32;fadiga;Qualitativa Nominal Binária;Inteiro;Relato de fadiga, cansaço fácil;Importante;;
33;vomitos;Qualitativa Nominal Binária;Inteiro;Relato de vômitos;Importante;;
34;sonolencia;Qualitativa Nominal Binária;Inteiro;Relato de sonolência excessiva;Importante;;
35;insonia;Qualitativa Nominal Binária;Inteiro;Relato de insônia ou sono agitado/entrecortado;Pouco importante;;
36;apetite;Qualitativa Nominal Binária;Inteiro;Relato de inapetência;Pouco importante;;
37;abdome;Qualitativa Nominal Binária;Inteiro;Relato de aumento do volume abdominal ;Pouco importante;;
38;diarreia;Qualitativa Nominal Binária;Inteiro;Relato de diarreia;Pouco importante;;
39;constip;Qualitativa Nominal Binária;Inteiro;Relato de constipação intestinal;Pouco importante;;
40;dorabdo;Qualitativa Nominal Binária;Inteiro;Relato de dor abdominal;Importante;;
41;tosse;Qualitativa Nominal Binária;Inteiro;Relato de tosse;Importante;;
42;faltadear;Qualitativa Nominal Binária;Inteiro;Relato de dispneia, falta de ar;Importante;;
43;urina;Qualitativa Nominal Binária;Inteiro;Relato de alteração da cor da urina;Pouco importante;;
44;oliguria;Qualitativa Nominal Binária;Inteiro;Relato de oliguria, redução do volume de urina;Pouco importante;;
45;cabelo;Qualitativa Nominal Binária;Inteiro;Relato de queda de cabelo;Pouco importante;;
46;edema1;Qualitativa Nominal Binária;Inteiro;Relato verbal de edema durante a doença. Relato do paciente;Importante;;
47;petequia;Qualitativa Nominal Binária;Inteiro;Relato de petéquias (pontinhos vermelhos ou marrons geralmente nos braços, pernas ou barriga) durante a doença;Muito importante;;
48;equimose;Qualitativa Nominal Binária;Inteiro;Relato de equimoses durante a doença;Muito importante;;
49;epistaxe;Qualitativa Nominal Binária;Inteiro;Relato de epistaxe durante a doença;Muito importante;;
50;gengiva;Qualitativa Nominal Binária;Inteiro;Relato de sangramento gengival durante a doença;Muito importante;;
51;venoclise;Qualitativa Nominal Binária;Inteiro;Relato de sangramento nos locais de venóclisedurante a doença;Muito importante;;
52;digestivo;Qualitativa Nominal Binária;Inteiro;Relato de sangramento digestivo durante a doença;Muito importante;;
53;hematuria;Qualitativa Nominal Binária;Inteiro;Relato de hematúria (sangue na urina)  macroscópica. Relato do paciente;Muito importante;;
54;peso;Quantitativa Contínua;Inteiro;Peso (em gramas) corporal à admissão;Importante;Para a avaliação nutricional;
55;estatura;Quantitativa Contínua;Inteiro;Comprimento (<= 3 anos) ou altura (> 3 anos) em centímetros ;Importante;Para a avaliação nutricional;
56;pas;Quantitativa Discreta;Inteiro;Pressão arterial sistólica;Sem importância;;
57;pad;Quantitativa Discreta;Inteiro;Pressão arterial diastólica;Sem importância;;
58;fc;Quantitativa Discreta;Inteiro;Frequência cardíaca;Sem importância;;
59;fr;Quantitativa Discreta;Inteiro;Frequência respiratória;Importante;;
60;temprt;Quantitativa Contínua;Float;Maior temperatura corporal medida durante a internação;Importante;;
61;ectoscopia;Qualitativa Ordinal;Inteiro;"Estado geral à internação (1.bom; 2. regular; 3.ruim)";Importante;;
62;consciente;Qualitativa Nominal Binária;Inteiro;Estado de consciência à internação;Pouco importante;;
63;mucosas;Qualitativa Ordinal;Inteiro;"Coloração das mucosas à internação (1.Normocoradas; 2.Palidez  leve/moderada; 3.Palidez acentuada)";Importante;;
64;ictericia;Qualitativa Nominal Binária;Inteiro;Presença de icterícia à internação;Importante;;
65;perfusao;Qualitativa Ordinal;Inteiro;"Perfusão periférica à internação (1.Boa; 2.Cianose de extremidades; 3.Cianose generalizada)";Importante;;
66;peleadmiss;Qualitativa Nominal Binária;Inteiro;Lesões cutâneas bacterianas (impetigo, celulite, abcesso);Importante;Passivo a erros;
67;alopecia;Qualitativa Nominal Binária;Inteiro;Rarefação do cabelo/ alopécia ao exame físico;Pouco importante;;
68;linfonodo;Qualitativa Ordinal;Inteiro;"Linfonodomegalia (1. Ausente; 2. Em 1-2 cadeias; 3. Em mais de 3 cadeias linfonodais)";Pouco importante;;
69;hidrata;Qualitativa Ordinal;Inteiro;Estado de hidratação 1. Hidratado  2. Desidratado I  3. Desidratado II   4. Desidratado III ;Importante;Mas pouco anotado;
70;edema0;Qualitativa Nominal Binária;Inteiro;Edema ao exame físico à admissão. Análise clínica;Muito importante;;
71;dispneia;Qualitativa Nominal Binária;Inteiro;Dispneia à admissão;Muito importante;;
72;tiragem;Qualitativa Nominal Binária;Inteiro;Tiragens / retrações intercostais;Muito importante;;
73;pulmao normal;Qualitativa Nominal Binária;Inteiro;Ausculta pulmonar normal  à admissão;Muito importante;;
74;creptantes;Qualitativa Nominal Binária;Inteiro;Estertores crepitantes à ausculta pulmonar à admissão;Muito importante;;
75;bolhosos;Qualitativa Nominal Binária;Inteiro;Estertores bolhosos à ausculta pulmonar à admissão;Muito importante;;
76;sibilos;Qualitativa Nominal Binária;Inteiro;Sibilos à ausculta pulmonar à admissão;Pouco importante;;
77;roncos;Qualitativa Nominal Binária;Inteiro;Roncos à ausculta pulmonar à admissão;Pouco importante;;
78;card;Qualitativa Nominal Binária;Inteiro;Ausculta cardíaca normal  à admissão;Pouco importante;;
79;sopro;Qualitativa Nominal Binária;Inteiro;Sopro cardíaco à admissão;Pouco importante;;
80;arritmia;Qualitativa Nominal Binária;Inteiro;Arritmia cardíaca à admissão;Pouco importante;;
81;galope;Qualitativa Nominal Binária;Inteiro;Ritmo cardíaco de galope à admissão;Pouco importante;;
82;fremito;Qualitativa Nominal Binária;Inteiro;Frêmito cardíaco à admissão;Pouco importante;;
83;atrito;Qualitativa Nominal Binária;Inteiro;Atrito pericárdico à admissão;Pouco importante;;
84;abafamento;Qualitativa Nominal Binária;Inteiro;Abafamento de bulhas à admissão;Pouco importante;;
85;espleno;Qualitativa Nominal Binária;Inteiro;Presença de esplenomegalia, baço grande ;Importante;;
86;spleen;Quantitativa Contínua;Float;Tamanho do baço em cm do bordo costal à ponta ;Importante;;
87;hepato;Qualitativa Nominal Binária;Inteiro;Presença de hepatomegalia;Importante;;
88;liver;Quantitativa Contínua;Float;Tamanho do fígado em cm do bordo costal ao bordo ;Importante;;
89;previo;Qualitativa Nominal Binária;Inteiro;História prévia de calazar;Sem importância;;
90;dtaprevio;Quantitativa Contínua;Data;Data do diagnóstico prévio de calazar ;Sem importância;;
91;antibio;Qualitativa Nominal Binária;Inteiro;Administração de antibióticos durante a internação;Importante;;
92;dtaantibio;Quantitativa Contínua;Data;Data do início da antibioticoterapia;no sense;;
93;hemacias;Qualitativa Nominal Binária;Inteiro;Administração de conc. hemácias durante a internação;Importante;;
94;plaquetas;Qualitativa Nominal Binária;Inteiro;Administração de conc. plaquetas  durante a internação;Importante;;
95;plasma;Qualitativa Nominal Binária;Inteiro;Administração de plasma durante a internação;Importante;;
96;vitk;Qualitativa Nominal Binária;Inteiro;Administração de vitamina K durante a internação;Pouco importante;;
97;antimonio;Qualitativa Nominal Binária;Inteiro;Administração de antimônio durante a internação;Importante;;
98;dtaantimonio;Quantitativa Contínua;Data;Data do início do antimônio;no sense;;
99;anfob;Qualitativa Nominal Binária;Inteiro;Administração de desoxicolato de anfotericina B;Importante;;
100;dtaanfob;Quantitativa Contínua;Data;Data do início do desoxicolato de anfotericina B;no sense;;
101;lipossomal;Qualitativa Nominal Binária;Inteiro;Administração de anfotericina B lipossomal durante a internação;Importante;;
102;dtaliposs;Quantitativa Contínua;Data;Data do início da anfotericina B lipossomal;no sense;;
103;miltefosina;Qualitativa Nominal Binária;Inteiro;Administração de miltefosina durante a internação;Importante;;
104;dta_miltefosina;Quantitativa Contínua;Data;Data do início da miltefosina;no sense;;
105;itu;Qualitativa Nominal Binária;Inteiro;Infecção do trato urinário durante a internação;Importante;;
106;ira;Qualitativa Nominal Binária;Inteiro;Insuficiência renal – diagnóstico no prontuário;Importante;;
107;pneumonia;Qualitativa Nominal Binária;Inteiro;Diagnóstico de pneumonia no prontuário;Muito importante;;
108;pelecomplic;Qualitativa Nominal Binária;Inteiro;Infecção da pele ou tecido celular subcutâneo;Muito importante;;
109;sepse;Qualitativa Nominal Binária;Inteiro;Diagnóstico clínico de sepse ou sinais de toxemia;Muito importante;;
110;hemorragia;Qualitativa Nominal Binária;Inteiro;Aparecimento de qualquer sangramento após a internação;Muito importante;;
111;convulsao;Qualitativa Nominal Binária;Inteiro;Crise convulsiva durante a internação;Sem importância;;
112;HIV aids;Qualitativa Nominal Binária;Inteiro;HIV/aids;Muito importante;;
113;drogas;Qualitativa Nominal Binária;Inteiro;Relato de uso de álcool ou  drogas ilícitas;Pouco importante;;
114;cancer;Qualitativa Nominal Binária;Inteiro;Co-morbidade: neoplasia;Pouco importante;;
115;transplante;Qualitativa Nominal Binária;Inteiro;História de transplante de órgãos;Importante;;
116;irc;Qualitativa Nominal Binária;Inteiro;Co-morbidade: insuf. renal crônica;Importante;;
117;cirrose;Qualitativa Nominal Binária;Inteiro;Cirrose hepática, Insuficiência hepato-celular;Importante;;
118;remissao;Quantitativa Discreta;Inteiro;Dias entre o início do tratamento e a remissão da febre;Pouco importante;;
119;spleenf;Quantitativa Contínua;Float;Tamanho do baço à alta;Sem importância;;
120;liverf;Quantitativa Contínua;Float;Tamanho do fígado à alta;Sem importância;;
121;altabem;Qualitativa Nominal Binária;Inteiro;Alta hospitalar melhorado;Importante;;
122;altamal;Qualitativa Nominal Binária;Inteiro;Alta hospitalar sem melhora;Importante;;
123;uti;Qualitativa Nominal Binária;Inteiro;Transferência para UTI;Importante;;
124;transfer;Qualitativa Nominal Binária;Inteiro;Transferência para outro serviço;Importante;;
125;obito;Qualitativa Nominal Binária;Inteiro;Óbito;Muito importante;;
126;dtalaborat;Quantitativa Contínua;Data;Data dos primeiros exames laboratoriais;no sense;;
127;hem;Quantitativa Contínua;Float;Hemácias (milhões/mm3);Muito importante;;
128;hg;Quantitativa Contínua;Float;Hemoglobina (g/dL);Muito importante;;
129;hemat;Quantitativa Contínua;Float;Hematócrito (%);Muito importante;;
130;vcm;Quantitativa Contínua;Float;Volume corpuscular médio;Pouco importante;;
131;hcm;Quantitativa Contínua;Float;Hemoglobina corpuscular média;Pouco importante;;
132;chcm;Quantitativa Contínua;Float;Concentração de hemoglobina corpuscula mádia;Pouco importante;;
133;leuco;Quantitativa Discreta;Inteiro;Leucócitos (/mm3);Muito importante;;
134;prometa;Quantitativa Contínua;Inteiro;Promielócitos ou mielócitos (%);Pouco importante;;
135;bast;Quantitativa Contínua;Inteiro;bastões (%);Pouco importante;;
136;segm;Quantitativa Contínua;Float;neutrófilos segmentados  (%);Muito importante;;
137;eosi;Quantitativa Contínua;Inteiro;eosinófilos (%);Pouco importante;;
138;baso;Quantitativa Contínua;Inteiro;basófilos (%);Pouco importante;;
139;linfo;Quantitativa Contínua;Inteiro;linfócitos (%);Muito importante;;
140;mono;Quantitativa Contínua;Inteiro;monócitos (%);Pouco importante;;
141;plaque;Quantitativa Discreta;;Plaquetas/ mm3;Muito importante;Fora de padrão, há valores que foram divididos por 1000 e outros que não;
142;vhs1;Quantitativa Discreta;;VHS (Velocidade de Hemossedimentação) 1ª hora (mm/h);Pouco importante;;
143;vhs2;Quantitativa Discreta;;VHS (Velocidade de Hemossedimentação) 2ª hora (mm/h);Pouco importante;;
144;ast;Quantitativa Discreta;;Aspartato aminotransferase (AST);Muito importante;;
145;alt;Quantitativa Discreta;;Alanina  aminotransferase (ALT);Muito importante;;
146;ka;Quantitativa Discreta;;Fosfatase alcalina (U/dL);Pouco importante;;
147;bd;Quantitativa Contínua;;Bilirribuna direta (mg/dL);Muito importante;;
148;bi;Quantitativa Contínua;;bilirrubina indireta (mg/dL);Muito importante;;
149;creat;Quantitativa Contínua;;creatinina (mg/dL);Muito importante;;
150;ureia;Quantitativa Contínua;;ureia (mg/dL);Muito importante;;
151;pesqdir;Qualitativa Nominal Binária;Inteiro;Pesquisa direta de leishmania em microscópio;Importante;para o diagnóstico;
152;RIFI/ rK39;Qualitativa Ordinal;;Reação de imunofluorescência  ou teste rápido rK39;Importante;Para o diagnóstico. Transformada em binária;
153;cult;Qualitativa Nominal Binária;Inteiro;Cultura  de leishmania em meio NNN;Importante;para o diagnóstico;
154;pcr_rK39;Qualitativa Nominal Binária;Inteiro;Reação em cadeia da polimerase ou teste rápido rK39;Importante;para o diagnóstico;
155;Pesquisa+ ou cultura+ ou RIFi + ou RK39+;Qualitativa Nominal Binária;Inteiro;Qualquer exame disgnóstico de calazar positivo;Importante;para o diagnóstico;
156;Teste hiv;Qualitativa Nominal Binária;Inteiro;Teste anti-HIV;Muito importante;;
157;prott;Quantitativa Contínua;;Proteínas totais (g/dl);Muito importante;;
158;albu;Quantitativa Contínua;;albumina totais (g/dl);Muito importante;;
159;globu;Quantitativa Contínua;;Globulina totais (g/dl);Pouco importante;;
160;ts;Quantitativa Discreta;;Tempo de sangramento (seg);Importante;;
161;tc;Quantitativa Discreta;;Tempo de coagulação (seg);Importante;;
162;tt;Quantitativa Contínua;;Tempo de tromboplastina (seg);Importante;Presente em apenas 1 paciente;
163;ptt;Quantitativa Contínua;;Tempo parcial de trombina (seg);Importante;Presente em apenas 4 pacientes;
164;coag;Quantitativa Contínua;;Tempo de coaguação (seg);Importante;;
165;tap;Quantitativa Contínua;Inteiro;Atividade de protrombina (%);Importante;Valores muito baixos (10%) indicam grave risco de sangramento fatal. Há muitas ocorrencias de 2 valores na mesma variável (que indicam o tempo em segundos e a atividade em porcentagem);
166;inr;Quantitativa Contínua;;INR (Razão Normalizada Internacional);Muito importante;;
167;fibrinogenio;;;Fibrinogênio;Importante;Mas raramente é feito. Não está presente em nenhum paciente;
168;pdf;Qualitativa Nominal Binária;Inteiro;Produtos de degradação da fibrina [Neg = normal (0) e Pos = anormal (1)];Importante;Mas raramente é feito;
169;dimero;Quantitativa Contínua;;Dímero D;Importante;Mas raramente é feito;
170;fpa;Quantitativa Contínua;;Fibrinopeptídeo A;Importante;Mas raramente é feito;
171;ptnuria_mg;Qualitativa Ordinal;;"Refere-se à ""Proteinúria"", a presença de proteína na urina, detectada por exame bioquímico";Pouco importante;Sem padronização;
172;albnuria_fita;Qualitativa Nominal Binária;Inteiro;Albuminúria (albumina na urina medida por fita);Pouco importante;Sem padronização;
173;hematur;Quantitativa Discreta;;Hematuria (hemácias na urina). Análise laboratorial;Importante;"Mas a variável ""hematúria>20 resume tudo""";
174;hematúria >20;Qualitativa Nominal Binária;Inteiro;Hematúria: mais de 20 hemácias por campo;Importante;;
175;cilindruria;Quantitativa Discreta;;Cilindros na urina;Sem importância;Sem padronização;
176;piuria;Quantitativa Discreta;Inteiro;Piócitos na urina;Importante;"Sem padronização. Mas a variável ""piúri definidora de ITU"" resume tudo";
177;Piuria definidora ITU (>10);Qualitativa Nominal Binária;Inteiro;Piúria: mais 20 piócitos por campo;Importante;;
178;epf;Qualitativa Ordinal;;Exame parasitológico de fezes;Pouco importante;Sem padronização;
179;rx;Qualitativa Ordinal;;Radiografia do tórax;Importante;"Sem padronização. Mas a variável ""rx sugestivo de penumonia"" já está analisada";
180;RX sugestivo pneumonia;Qualitativa Nominal Binária;Inteiro;Radiografia sugestiva de pneumonia;Importante;;
181;outros;Qualitativa Ordinal;;Outros exames laboratoriais pertinentes;Importância variável;Precisam ser interpretados;
182;notas;Qualitativa Ordinal;;Anotações importantes;Importância variável;Precisam ser interpretados;
183;cult_bact ou bacterioscopia;Qualitativa Nominal Binária;Inteiro;Cultura para bactérias;Importante;Note que o exame não é solicitado para todos.;
184;Insuficiência renal;Qualitativa Nominal Binária;Inteiro;Falência renal;Muito importante;"É a variável ""insuficiência renal do Calacal.";
185;qualquer sangramento ;Qualitativa Ordinal;Inteiro;"Qualquer tipo de sangramento.
0: ausente
1: 1 a 2 sítios
2. 3 a 4 sítios
3: 5 ou mais sítios";Muito importante;"Resume as variáveis que denem sangramento: Colunas AW-B; DG, FS. È a variável sangramento para o Kalacal";
186;qualquer edema;Qualitativa Nominal Binária;Inteiro;Relato de edema na anamnese ou edema verificado no exame físico;Muito importante;Resume as variáveis edema0 e edema1;
187;Pneumonia sindomica;Qualitativa Nominal Binária;Inteiro;Conclusão diagnóstica de penumonia ( dispneia, tiragem, radiografia);Muito importante;Os valores booleanos foram somados (qualquer valor >= 1 é 1);
188;infecção bacteriana;Qualitativa Nominal Binária;Inteiro;Qualquer infecção bacteriana  (pneumonia, sepse, infecção pele, infecção urinária, cultura para bactérias;Muito importante;Os valores booleanos foram somados (qualquer valor >= 1 é 1);
189;HIV/aids antes/durante;Qualitativa Nominal Binária;Inteiro;Infecção pelo HIF diagnosticada antes ou durante a internação;Muito importante;Acopla as variáveis HIV aids e teste HIV;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
